Count,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Ema_Acc,Ema_Gyr,Activity
34,3014,-124,-285,885,260,-934,2029,1152,0
35,2361,-401,-471,533,144,-842,1440,1123,0
36,1542,-513,-463,123,54,-580,689,1017,0
37,1172,-284,-269,-190,15,-355,235,894,0
38,934,-56,-160,-288,5,-252,50,791,0
39,714,35,-110,-249,-1,-203,276,697,0
40,581,59,-84,-162,-29,-142,410,601,0
41,490,112,-44,-71,-55,-63,495,503,0
42,455,147,24,1,-83,6,521,419,0
43,412,186,36,33,-69,63,546,355,0
44,413,242,3,25,-15,120,521,308,0
45,459,328,-62,3,52,164,432,281,0
46,542,404,-157,-19,108,203,306,271,0
47,641,474,-225,-38,122,237,171,270,0
48,728,526,-263,-49,105,252,64,271,0
49,788,569,-293,-54,88,260,15,273,0
50,847,600,-317,-47,77,278,85,277,0
51,916,599,-347,-40,67,294,148,282,0
52,986,569,-378,-54,53,303,199,288,0
53,1064,540,-396,-94,35,315,257,296,0
54,1171,562,-425,-148,5,326,366,308,0
55,1306,561,-441,-250,-57,329,488,330,0
56,1385,679,-317,-396,-144,330,574,371,0
57,1363,879,-144,-455,-205,313,628,414,0
58,1279,1038,21,-411,-233,266,647,440,0
59,1127,1104,113,-291,-219,193,581,434,0
60,1002,1043,120,-153,-158,105,451,396,0
61,940,865,45,-70,-87,23,278,339,0
62,918,682,-46,-73,-41,-32,144,289,0
63,917,603,-115,-109,-26,-63,103,257,0
64,919,537,-150,-140,-35,-83,74,239,0
65,875,497,-199,-165,-45,-93,225,230,0
1,1347,1211,-1896,524,-227,-263,1622,506,0
2,2009,1420,-2689,375,-319,-340,2644,524,0
3,2998,1666,-3315,398,-519,-444,3769,577,0
4,4096,1325,-3518,503,-728,-526,4559,667,0
5,5571,1281,-3137,836,-941,-481,5520,803,0
6,5674,620,-2252,977,-1062,-315,5135,938,0
7,4731,406,-1968,699,-992,-97,4140,994,0
8,3917,906,-1689,594,-832,45,3360,999,0
9,3134,1206,-1280,657,-693,93,2593,991,0
10,2259,1143,-865,749,-512,116,1675,976,0
11,1737,984,-729,813,-297,121,1125,955,0
12,1631,777,-794,857,-73,179,973,940,0
13,1615,620,-972,784,161,277,984,921,0
14,1728,362,-1248,702,361,382,1162,912,0
15,1856,311,-1371,504,327,545,1328,891,0
16,1621,575,-954,308,201,645,966,861,0
17,1353,876,-473,314,124,633,679,832,0
18,1306,992,-102,398,60,620,643,814,0
19,1486,1074,275,420,23,643,853,804,0
20,1546,1232,662,392,86,647,1084,796,0
21,1565,1617,661,380,350,530,1345,784,0
22,1816,1447,387,606,557,333,1354,805,0
23,2062,994,33,842,718,144,1289,867,0
24,2207,571,-916,537,1008,118,1456,923,0
25,3040,874,-1007,43,953,178,2319,932,0
26,3187,1126,-826,-130,777,192,2479,908,0
27,2488,1351,-701,-55,747,191,1916,880,0
28,3589,1571,-563,63,1050,167,2958,917,0
29,4108,1854,-939,86,1164,200,3603,971,0
30,4174,2051,-1427,205,1161,119,3864,1013,0
31,3992,2310,-1317,592,758,79,3796,1003,0
32,3642,1921,-767,1195,480,-123,3188,1061,0
33,3795,1030,-173,1558,112,-533,2936,1179,0
34,4048,356,259,1520,-205,-876,3071,1296,0
35,3346,-674,410,1241,-477,-1119,2437,1384,0
36,1560,-1051,-170,560,-450,-782,888,1320,0
37,797,-840,-258,-165,-146,-510,186,1167,0
38,716,-254,-98,-343,25,-266,233,1020,0
39,608,4,-95,-286,74,-167,384,884,0
40,531,88,-125,-126,60,-96,447,741,0
41,529,141,-142,-13,32,-33,434,602,0
42,560,227,-153,44,-28,45,376,495,0
43,610,337,-118,57,-94,101,293,426,0
44,606,362,-65,27,-135,115,291,376,0
47,584,332,29,-235,-96,102,327,304,0
48,596,295,76,-276,-82,122,330,306,0
49,616,293,117,-285,-49,158,307,310,0
50,659,330,114,-248,9,210,254,313,0
51,742,423,35,-161,92,270,145,316,0
52,920,475,-126,-49,156,323,43,325,0
53,1142,512,-298,23,147,359,286,337,0
54,1252,538,-542,68,120,379,466,350,0
55,1415,506,-676,63,45,391,647,360,0
56,1481,491,-656,-31,-16,418,692,372,0
57,1499,572,-525,-193,6,455,688,396,0
58,1518,771,-482,-301,49,472,769,429,0
59,1508,961,-385,-336,75,445,829,455,0
60,1448,1072,-230,-299,53,353,816,457,0
61,1351,1069,-169,-224,0,207,731,427,0
62,1252,909,-173,-161,-64,90,556,380,0
63,1148,738,-153,-145,-125,41,373,343,0
64,1030,636,-109,-171,-156,34,215,321,0
65,913,618,-59,-217,-153,33,432,310,0
1,960,1733,-1146,293,-24,-266,1288,269,0
2,1432,2180,-1698,362,-108,-365,2112,320,0
3,2038,2337,-2138,394,-262,-485,2766,392,0
4,2493,2588,-2345,393,-381,-557,3290,469,0
5,3502,2642,-2386,469,-510,-660,3993,566,0
6,4135,2406,-2287,577,-644,-688,4302,674,0
7,4357,1917,-1779,607,-747,-632,4081,769,0
