Count,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Ema_Acc,Ema_Gyr,Activity
59,1404,738,-358,-82,99,235,626,319,2
60,1227,805,-350,-56,97,238,508,307,2
61,1343,783,-377,-29,104,221,599,295,2
62,1339,730,-306,-85,31,165,555,273,2
63,1097,624,-262,-186,-39,108,288,262,2
64,1068,633,-142,-254,-37,96,249,264,2
65,1019,682,-59,-276,-46,82,383,270,2
1,1106,192,-709,-252,641,454,327,608,2
2,1604,1190,-3033,-377,513,447,2631,642,2
3,187,1966,-2532,-32,284,649,2211,655,2
4,-1189,3726,-1197,-181,-15,107,3090,566,2
5,-750,441,-1208,687,428,-373,488,631,2
6,198,-1418,-872,408,221,221,676,607,2
7,-596,-330,-1576,-230,164,132,716,548,2
8,-596,1529,-647,-177,-13,-264,763,502,2
9,-504,264,-886,331,239,-3,52,483,2
10,-230,-357,-733,182,88,85,152,430,2
11,-426,321,-792,-148,14,1,45,374,2
12,-338,326,-742,54,129,32,121,327,2
13,-274,119,-703,28,80,9,236,279,2
14,-220,97,-587,-21,82,30,365,241,2
15,-167,193,-560,-63,83,41,384,215,2
16,-123,217,-558,-95,91,39,388,199,2
17,-88,192,-530,-153,97,35,429,196,2
18,-42,148,-468,-190,132,53,507,204,2
19,22,178,-456,-212,184,94,509,222,2
20,153,270,-497,-197,246,141,414,247,2
21,244,355,-494,-185,262,154,344,268,2
22,337,375,-473,-167,312,160,308,292,2
23,490,418,-405,-162,322,161,239,312,2
24,633,480,-368,-147,339,198,124,334,2
25,807,557,-337,-118,374,248,36,360,2
26,901,576,-321,-97,359,274,116,380,2
27,1005,593,-315,-89,355,267,208,394,2
28,1117,591,-350,-59,342,259,311,402,2
29,1245,608,-350,-36,306,263,429,402,2
30,1336,537,-288,-33,224,222,468,385,2
31,1294,541,-283,-62,151,190,430,358,2
32,1406,614,-193,-26,168,190,546,337,2
33,1448,486,-158,-31,131,142,535,309,2
34,1391,323,-147,-143,59,77,435,281,2
35,1372,393,-108,-243,58,91,431,278,2
36,1270,451,-37,-285,71,117,348,285,2
37,1162,549,56,-310,35,92,286,293,2
38,1174,703,0,-257,62,108,368,291,2
