AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Ema_Acc,Ema_Gyr,isDone,Activity
1560,-243,1833,-165,546,67,1419,404,False,5
2191,-217,2269,-96,843,208,2161,498,False,5
3218,-359,2802,-98,1164,316,3282,640,False,5
4199,-293,3486,-165,1362,377,4465,797,False,5
4969,154,3988,-166,1326,428,5373,918,False,5
5151,981,4082,-37,1210,420,5645,990,False,5
4780,1065,3679,-77,1090,212,5125,1015,False,5
4069,943,3425,-155,966,97,4401,1008,False,5
3356,936,2775,-99,871,116,3763,983,True,5
921,892,1175,-171,53,-231,739,137,False,5
808,802,1698,-281,152,-295,1044,196,False,5
937,874,2029,-239,366,-277,1399,260,False,5
1176,717,2266,-129,514,-272,1651,327,False,5
1539,651,2309,-6,675,-222,1850,403,False,5
1852,526,2278,16,803,-209,1982,488,False,5
1732,679,2896,-268,1119,-193,2442,779,False,5
1583,546,2521,-220,1111,-155,2026,852,False,5
1356,527,1809,-169,1075,-135,1321,901,False,5
1360,464,1059,-84,985,-84,785,919,False,5
647,417,69,-8,952,-55,227,926,False,5
1679,195,-859,15,727,-4,896,886,False,5
1309,122,-1256,35,427,-7,818,794,False,5
871,0,-1204,38,135,-28,486,664,False,5
529,-30,-954,23,-42,-20,91,541,False,5
254,-14,-638,20,-175,11,313,468,False,5
-19,79,-535,38,-207,68,458,418,False,5
-93,106,-526,39,-199,104,455,380,False,5
-35,110,-517,-22,-200,118,470,351,False,5
158,157,-422,-73,-252,107,522,337,False,5
407,147,-274,-75,-351,85,487,343,False,5
642,160,-70,-55,-506,70,334,377,False,5
910,204,232,-12,-663,72,38,435,False,5
1275,246,683,26,-804,81,467,509,False,5
1667,345,1465,50,-993,118,1245,608,False,5
1921,533,1988,47,-1043,119,1815,696,False,5
2277,603,2228,54,-1008,141,2242,760,False,5
3244,687,2490,24,-1012,174,3146,814,False,5
3795,1064,3188,34,-1141,182,4069,882,False,5
3842,1221,3444,109,-1150,230,4302,941,False,5
3386,853,2867,-172,-1034,69,3517,963,False,5
2731,374,2486,-660,-756,-373,2711,984,False,5
2704,815,2073,-467,-573,-381,2503,953,False,5
3004,569,1235,-84,-519,-307,2297,884,False,5
3003,81,1358,41,-710,-280,2296,860,False,5
2605,75,1662,84,-804,-215,2090,855,False,5
2052,24,1680,111,-735,-146,1652,835,False,5
1584,11,1382,41,-636,-123,1102,798,False,5
1126,213,1352,-21,-615,-131,772,764,False,5
583,318,1542,-7,-562,-136,678,727,False,5
34,162,1558,2,-429,-126,566,671,False,5
-111,61,1466,34,-262,-95,471,592,False,5
-200,-146,1430,7,-158,-87,451,510,False,5
-318,-258,1555,-35,-58,-56,608,425,False,5
-170,-141,1311,-22,115,16,329,364,False,5
62,29,1239,-68,197,43,240,333,False,5
318,258,1284,-81,293,64,347,328,False,5
699,326,1447,-63,395,68,639,344,False,5
1026,125,1681,-27,543,88,973,385,False,5
1672,-23,2048,-15,740,150,1643,459,False,5
2307,-194,2763,16,906,226,2604,554,False,5
3052,-352,3284,-91,1129,258,3497,675,False,5
4005,5,4176,-209,1290,294,4786,808,False,5
4758,248,4654,-196,1217,290,5660,899,False,5
4955,489,4586,-153,1133,292,5769,955,False,5
4771,844,4340,-138,1084,257,5504,988,False,5
4288,665,3422,-65,986,243,4526,994,False,5
3640,681,2431,-65,812,205,3925,963,True,5
929,918,1159,-13,178,-189,746,124,False,5
1036,720,1393,-47,304,-229,879,176,False,5
1132,696,1663,-138,415,-257,1128,242,False,5
1286,891,1987,-119,528,-260,1529,313,False,5
1468,795,2133,-31,667,-247,1708,393,False,5
1714,683,2266,-17,766,-237,1922,475,False,5
1817,758,2417,-50,805,-250,2117,548,False,5
1778,776,2594,-82,863,-261,2239,620,False,5
1800,768,2552,-105,943,-239,2215,691,False,5
1670,720,2300,-77,939,-211,1932,746,False,5
1462,550,1758,-54,914,-187,1351,783,False,5
1279,349,1140,-86,881,-171,748,807,False,5
1093,260,623,-93,783,-118,284,805,False,5
874,202,254,-29,659,-46,67,776,False,5
-300,671,-487,32,397,68,118,701,False,5
861,59,-730,25,533,-26,130,668,False,5
765,-162,-476,64,200,181,84,590,False,5
-101,390,-742,43,156,-4,155,504,False,5
292,64,-825,131,94,51,122,437,False,5
328,-9,-841,89,-23,61,97,371,False,5
329,-65,-806,27,-140,38,127,326,False,5
318,1,-627,-34,-256,29,296,313,False,5
357,122,-420,-17,-365,49,435,324,False,5
467,236,-242,36,-460,85,423,353,False,5
642,255,2,28,-573,82,309,398,False,5
707,360,431,38,-679,93,97,455,False,5
969,422,731,24,-699,120,285,506,False,5
1470,642,1560,-19,-800,73,1237,565,False,5
1143,705,2435,-100,-878,-46,1780,629,False,5
1794,664,2190,-2,-774,28,1907,658,False,5
2484,565,2518,67,-985,3,2581,724,False,5
2914,706,3209,89,-1110,38,3391,802,False,5
3278,874,3604,135,-1121,103,3949,868,False,5
2873,614,3405,-33,-1045,-10,3497,903,False,5
2560,458,3015,-384,-900,-323,2981,928,False,5
2457,620,2478,-399,-775,-487,2544,942,False,5
2456,705,1963,-79,-724,-421,2222,922,False,5
2382,428,1601,168,-765,-311,1901,906,False,5
2147,369,1775,208,-883,-273,1810,914,False,5
1538,195,1680,156,-764,-213,1286,893,False,5
1118,63,1473,17,-545,-193,850,830,False,5
790,16,1380,-64,-438,-207,590,761,False,5
