Count,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Ema_Acc,Ema_Gyr,Activity
21,1373,758,803,917,561,425,761,1038,7
22,2328,988,359,970,867,63,1554,1091,7
23,2693,164,-424,834,844,-129,1731,1111,7
24,2223,-64,-661,230,809,-167,1320,1060,7
25,2662,927,-4,-157,1029,-91,1818,1057,7
26,2997,1077,-286,-4,1419,-136,2197,1131,7
27,5281,1659,-90,-106,1406,-194,4536,1189,7
28,4904,2360,-1274,139,1312,-139,4589,1216,7
29,4658,1442,-1718,200,968,-247,4169,1176,7
30,5082,1768,-587,153,527,-392,4412,1076,7
31,4161,949,-1074,218,395,-621,3400,1014,7
32,3565,268,-1099,350,340,-595,2740,965,7
33,3300,256,-454,391,152,-459,2340,896,7
34,2754,160,-145,458,118,-386,1762,839,7
35,2122,-445,-253,394,76,-434,1182,789,7
36,1367,-642,-304,212,47,-383,540,719,7
37,1217,-492,-140,69,9,-204,320,618,7
38,871,-203,-111,27,-16,-51,98,506,7
39,720,-17,-26,62,-50,45,279,423,7
40,686,72,10,84,-70,117,310,370,7
41,680,169,46,35,-70,143,297,329,7
42,698,262,78,-2,-46,151,250,294,7
43,766,317,114,10,-23,194,163,274,7
44,809,348,77,29,0,259,115,271,7
45,865,375,33,30,26,301,56,278,7
46,969,390,36,8,30,302,45,283,7
47,1039,422,48,-27,18,286,122,283,7
48,1052,439,50,-60,23,269,141,282,7
49,1066,469,50,-88,42,250,165,279,7
50,1073,502,33,-98,60,228,185,274,7
51,1087,530,45,-90,67,208,210,266,7
52,1085,542,-13,-75,79,188,212,256,7
53,1069,545,-68,-65,91,161,201,244,7
54,1060,527,-81,-60,86,128,186,228,7
55,1038,503,-104,-65,81,87,158,210,7
58,1012,440,-151,-53,38,2,113,147,7
59,1019,424,-166,-43,23,-12,116,128,7
60,1001,397,-158,-38,6,-29,88,112,7
61,981,376,-167,-41,-8,-48,63,102,7
62,1003,382,-147,-39,-19,-62,83,96,7
63,1034,362,-132,-27,-29,-73,103,94,7
64,1015,327,-122,-27,-40,-85,73,94,7
65,998,318,-93,-32,-44,-93,95,97,7
1,1787,2369,-195,73,0,-71,1973,63,7
2,2319,3026,-320,117,-56,-270,2825,110,7
3,2693,3102,-309,238,-67,-480,3119,196,7
4,3573,3562,19,425,-87,-467,4045,284,7
5,4442,3164,562,521,-321,-595,4482,398,7
6,4652,3388,1450,649,-480,-628,4934,522,7
7,5038,2629,1865,785,-573,-662,4980,653,7
8,4783,1585,1869,740,-549,-745,4374,759,7
9,3921,936,1719,719,-508,-625,3382,823,7
10,3387,814,1517,818,-417,-387,2799,857,7
11,3021,417,1330,944,-402,-183,2327,894,7
12,2379,-352,1359,887,-518,-7,1762,921,7
13,1488,-546,1383,834,-693,42,1103,953,7
14,1551,-369,883,960,-104,470,822,977,7
15,1809,-498,672,872,-111,684,993,1004,7
16,2025,-114,877,538,-216,777,1209,997,7
17,1717,400,1407,376,-314,766,1255,979,7
18,1119,629,1797,444,-226,715,1208,958,7
19,1083,581,1624,604,39,729,1036,955,7
20,1718,597,1569,808,307,748,1402,993,7
21,2097,220,1615,794,533,669,1655,1028,7
22,2646,36,875,374,812,507,1787,1027,7
23,3276,825,927,37,1069,608,2503,1068,7
24,3460,1450,969,201,1244,770,2874,1149,7
25,5315,1528,1297,411,1346,717,4680,1235,7
26,5651,2221,280,583,1263,428,5078,1279,7
