AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Ema_Acc,Ema_Gyr,isDone,Activity
921,356,-35,65,40,-20,11,172,False,1
948,336,-77,71,52,-11,8,155,False,1
964,326,-116,70,42,-11,105,140,True,1
1286,1499,-449,338,-131,-223,1025,217,False,1
1367,1604,-248,191,-187,-368,1122,264,False,1
1457,1701,-112,271,-153,-450,1242,321,False,1
1658,1640,-195,396,-156,-490,1340,386,False,1
1752,1423,-325,381,-229,-539,1280,448,False,1
1670,1335,-246,280,-307,-568,1152,499,False,1
1522,1438,132,305,-302,-564,1098,541,False,1
1447,1409,408,399,-207,-572,1060,578,False,1
1487,1236,678,446,-71,-592,1049,611,False,1
1424,977,835,434,55,-597,918,637,False,1
1332,837,972,384,156,-584,849,653,False,1
1264,675,937,320,206,-606,712,665,False,1
1320,204,670,177,298,-612,494,672,False,1
1286,-14,114,27,304,-624,291,677,False,1
1263,-417,-444,36,317,-583,402,674,False,1
1344,-1120,-1054,163,324,-440,1042,653,False,1
1436,-1695,-1707,163,213,-245,1801,595,False,1
1358,-1961,-2025,94,25,-124,2128,507,False,1
1248,-1739,-1705,107,-114,46,1736,438,False,1
1013,-1530,-1315,182,-175,236,1257,419,False,1
735,-1161,-982,178,-166,371,688,424,False,1
619,-814,-884,100,-115,449,351,434,False,1
570,-301,-750,-5,-111,479,11,445,False,1
543,337,-675,-74,-102,458,70,451,False,1
374,1170,-424,-54,-109,400,299,444,False,1
11,1472,-397,-5,-43,278,524,412,False,1
-85,1008,-676,-114,31,131,216,364,False,1
-21,707,-804,-179,56,61,70,331,False,1
84,483,-908,-119,48,41,31,291,False,1
164,234,-865,-89,-23,10,89,251,False,1
175,79,-708,-115,-70,-15,266,228,False,1
113,-36,-549,-148,-69,-16,438,215,False,1
102,-115,-448,-185,-49,-4,526,210,False,1
107,-203,-440,-245,-1,24,503,217,False,1
125,-263,-405,-345,12,74,501,244,False,1
156,-207,-284,-457,5,131,615,290,False,1
184,-107,-213,-540,25,206,698,348,False,1
413,-12,-226,-601,86,317,529,415,False,1
752,224,-119,-671,97,444,206,494,False,1
939,652,-28,-700,-21,486,143,565,False,1
1253,1060,177,-619,-151,472,650,611,False,1
1417,1152,282,-528,-305,445,847,639,False,1
1667,1016,425,-598,-475,387,997,682,False,1
1649,903,486,-751,-444,371,941,735,False,1
1862,1061,667,-700,-475,388,1244,774,False,1
1797,1312,819,-442,-548,346,1370,776,False,1
