Count,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Ema_Acc,Ema_Gyr,Activity
48,616,456,168,123,70,-44,215,289,0
49,595,419,146,102,89,-73,257,262,0
50,611,428,118,85,135,-83,244,245,0
51,709,466,101,90,189,-73,145,240,0
52,750,511,69,100,228,-61,89,243,0
55,1083,635,99,270,278,-64,259,297,0
56,1103,553,139,343,217,-87,241,321,0
57,1200,500,192,373,176,-109,314,342,0
58,1029,476,234,436,153,-98,157,368,0
59,1134,618,275,516,219,-50,320,406,0
60,1653,806,324,603,314,35,867,461,0
61,1815,748,294,655,171,31,984,504,0
62,1739,595,317,565,-45,-120,865,519,0
63,2135,676,68,431,-225,-192,1240,520,0
64,1978,338,184,145,-321,-543,1015,545,0
65,1898,123,387,-205,-244,-689,796,588,0
1,2370,882,1164,-981,-738,468,1783,966,0
2,1389,882,1124,-818,-592,267,992,982,0
3,893,862,884,-543,-249,98,523,906,0
4,870,830,644,-191,6,9,364,763,0
5,895,706,491,117,139,-18,241,647,0
6,966,558,424,325,192,-30,193,593,0
7,896,343,352,451,177,-10,21,571,0
8,748,145,256,444,145,37,196,550,0
9,605,99,142,319,132,110,370,513,0
10,513,259,48,150,175,179,423,468,0
11,607,503,18,39,283,233,211,448,0
12,769,869,10,31,318,198,160,433,0
13,870,1076,37,176,316,102,384,422,0
14,1001,964,-22,332,254,-16,389,421,0
15,1156,776,-70,344,176,-128,394,418,0
16,1316,693,-23,268,91,-225,487,406,0
17,1480,650,96,184,43,-320,619,399,0
18,1739,651,212,131,27,-397,868,403,0
19,1891,671,283,141,54,-416,1026,411,0
20,1840,621,288,197,90,-400,963,419,0
21,1743,538,294,226,117,-388,847,428,0
22,1765,506,261,226,95,-379,854,433,0
23,1683,505,89,237,58,-375,759,435,0
24,1907,435,128,372,-67,-299,960,444,0
25,1892,339,265,132,20,-366,940,433,0
26,1460,283,182,27,-51,-356,498,418,0
27,1383,367,265,-35,-62,-338,455,404,0
28,1199,344,267,-55,-71,-341,275,393,0
29,1053,314,237,-78,-40,-351,124,387,0
30,927,279,221,-75,-3,-346,7,380,0
31,827,234,190,-47,31,-329,119,371,0
32,731,144,150,-7,50,-293,240,356,0
33,594,30,106,20,56,-237,395,333,0
34,468,-41,101,26,31,-158,519,299,0
35,373,-96,79,10,5,-55,606,250,0
36,324,-52,61,-10,-18,65,666,214,0
37,400,53,39,-8,-30,173,594,206,0
38,557,147,35,-6,-39,261,422,217,0
39,786,255,60,-8,-56,351,171,245,0
40,1084,369,107,-19,-76,437,150,284,0
41,1351,499,96,-49,-71,509,443,331,0
42,1746,693,41,-68,-4,568,878,379,0
43,2412,712,93,-107,-70,611,1516,428,0
44,2700,774,259,-250,-284,633,1820,489,0
45,2547,832,369,-406,-458,636,1704,568,0
46,2190,813,479,-558,-524,556,1384,643,0
49,1261,807,682,-495,-381,161,645,708,0
50,1087,799,614,-292,-268,93,482,648,0
